"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
2281,CE F320,DESIGN OF RE CONCRETE STRU,-,-,3,L1,ANSHUMAN,1223,M W F  8,,24/12 FN
"",,Tutorial,,,,T1,Anshuman,1232,T  2,,
"",,,,,,T2,Rakesh  Kumar V G(RS),1203,T  2,,
"",,,,,,,Ankit Singh Mehra(RS),,,,
2282,CE F321,ENGINEERING HYDROLOGY,-,-,3,L1,RALLAPALLI SRINIVAS,,M W F  9,,13/12 FN
1215,CE F323,INTRO TO ENVIRN ENGG,-,-,3,L1,ANUPAM SINGHAL,1227,M W F  9,,13/12 FN
"",,,,,,,Srishti Gyaneshware Khare(RS),,,,
2304,CE F325,FUNDAMENTALS OF ROCK MECHANICS,-,-,3,L1,NISHANT ROY,1231,M W F  2,,20/12 FN
1667,CE F366,LABORATORY PROJECT,-,-,3,L1,ANUPAM SINGHAL,,,,
1737,CE F367,LABORATORY PROJECT,-,-,3,L1,ANUPAM SINGHAL,,,,
1686,CE F376,DESIGN PROJECT,-,-,3,L1,ANUPAM SINGHAL,,,,
1753,CE F377,DESIGN PROJECT,-,-,3,L1,ANUPAM SINGHAL,,,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
1231,CE F417,APP OF AI IN CIVIL ENGG,-,-,3,L1,RAJIV GUPTA,1204,T Th  4  W  10,,17/12 FN
1221,CE F426,GEOSYN & REIN SOIL STR,-,-,3,L1,SHASHANK B S,1204,M W F  7,,23/12 FN
1228,CE F433,REMOTE SENS & IMAGE PROC,-,-,4,L1,RAJIV GUPTA,6152,M W F  3,,22/12 FN
"",,,,,,,Akshay Kumar(RS),,,,
1234,CE F435,INTRODUCTION TO FEM,-,-,3,L1,RAJESH KUMAR,1226,M W F  3,,22/12 FN
1711,CE F491,SPECIAL PROJECT,-,-,3,L1,ANUPAM SINGHAL,,,,
433,CE G515,FUNDAMENTALS OF SYS ENGG,-,-,4,L1N,RALLAPALLI SRINIVAS,1220,M  10  T Th  3,,28/12 AN
325,CE G523,TRAN SYST PLAN & MANAGE,-,-,4,L1N,SUBHASIS PRADHAN,,T Th  5  F  10,,23/12 AN
"",,,,,,,Md Rushdie Ibne Islam,,,,
