COMCOD,SEC,ROOM,DAYS_&_HOURS
1243.0,T2,6155.0,Th  9
1243.0,T3,1203.0,Th  9
1243.0,T4,1223.0,Th  9
1243.0,T5,1226.0,Th  9
1731.0,L1,,
1742.0,L1,,
1691.0,L1,,
1758.0,L1,,
2288.0,L1,1223.0,M W F  2
1254.0,L1,6104.0,M W F  7
1259.0,L1,1231.0,M W F  3
1256.0,L1,1203.0,M W F  9
1256.0,P1,,T  1 2
1256.0,P2,,T  1 2
1257.0,L1,5101.0,M W F  6
1249.0,L1,1202.0,M W F  7
1855.0,L1,5105.0,M W F  2
1855.0,P1,,T  10 11
1716.0,L1,,
324.0,L1N,,M W F  7
324.0,P1N,,T  7 8
324.0,P2N,,Th  7 8
2175.0,L1,5103.0,M W F  5
698.0,L1N,,T Th  5  F  10
698.0,P1N,,Th  9 10
712.0,L1,1231.0,T Th  5  F  10
712.0,P1,,T  7 8
1896.0,L1,6104.0,M W F  9
1897.0,L1,6108.0,M W F  7
707.0,L1N,,T Th  4  W  10
471.0,L1,6103.0,M W F  4
921.0,L1,6151.0,T Th  4  W  10
2267.0,L1,6102.0,M W F  5
1658.0,L1,,
1539.0,L1,6151.0,M W F  7
1539.0,L2M,,M W F  7
1545.0,L1,5101.0,T Th  4  W  10
1545.0,L2M,,T Th  4  W  10
1732.0,L1,,
1743.0,L1,,
1692.0,L1,,
1759.0,L1,,
1942.0,L1,1227.0,M W F  2
1942.0,L2M,,M W F  2
1717.0,L1,,
1130.0,L1,1233.0,T Th  5  F  10
1131.0,L1,6160.0,M W F  4
1132.0,L1,6103.0,M  10  T Th  3
1133.0,L1,6109.0,T  6  T Th  2
1134.0,P1,,T Th  7 8
1135.0,L1,6109.0,M W F  7
1136.0,L1,6109.0,M W F  5
1136.0,L2,6101.0,T  6  T Th  2
1169.0,L1,1233.0,T  6  T Th  2
1170.0,L1,6101.0,T Th  5  F  10
1159.0,L1,1201.0,M W F  8
1659.0,L1,,
1173.0,L1,6102.0,M W F  4
1174.0,L1,1234.0,T Th  5  F  10
1914.0,L1,1201.0,M  10  T Th  3
1163.0,L1,2206.0,M  4
1163.0,P1,,T  7 8
1137.0,L1,1201.0,T Th  5  F  10
1175.0,L1,6101.0,M W F  5
1873.0,L1,6102.0,M W  6
1733.0,L1,,
1744.0,L1,,
1693.0,L1,,
1760.0,L1,,
1718.0,L1,,
1596.0,L1,1202.0,M W F  8
1621.0,L1,1226.0,T Th  5  F  10
1627.0,L1,1234.0,T  6  T Th  2
1628.0,L1,6109.0,M W F  8
2425.0,L1,1226.0,M  10  T Th  3
1776.0,L1,,
1777.0,L1,5105.0,M W F  7
1155.0,L1,2204.0,M W F  4
1609.0,L1,5102.0,T Th  5  F  10
1597.0,L1,6102.0,T  6  T Th  2
1599.0,L1,5105.0,M W F  5
1623.0,L1,6101.0,M W F  6
1625.0,L1,6156.0,M W F  7
1626.0,L1,1233.0,M W F  5
2289.0,L1,6164.0,M W F  2
1096.0,L1,5105.0,M  10  T Th  3
1096.0,L2,5101.0,M  10  T Th  3
1096.0,T1,5105.0,W  1
1096.0,T2,5101.0,W  1
1096.0,T3,6101.0,W  1
1096.0,T4,6102.0,W  1
1096.0,T5,1234.0,W  1
1096.0,T6,6152.0,W  1
1096.0,P1,,Th  7 8
1096.0,P2,,T  10 11
1096.0,P3,,T  10 11
1096.0,P4,,Th  10 11
1096.0,P5,,Th  7 8
1096.0,P6,,Th  10 11
1097.0,L1,5105.0,T Th  4  W  10
1097.0,T1,5105.0,F  1
1097.0,T2,6102.0,F  1
1097.0,T3,1202.0,F  1
1097.0,T4,1226.0,F  1
1097.0,T5,1231.0,F  1
1099.0,L1,5105.0,M W F  9
1099.0,T1,5105.0,Th  1
1099.0,T2,6155.0,Th  1
1099.0,T3,6156.0,Th  1
1099.0,T4,6101.0,Th  1
1099.0,T5,6102.0,Th  1
1099.0,T6,1202.0,Th  1
1098.0,L1,5102.0,M W F  3
1098.0,L2,5105.0,M W F  3
1098.0,T1,5102.0,M  1
1098.0,T2,5105.0,M  1
1098.0,T3,1233.0,M  1
1098.0,T4,6101.0,M  1
1098.0,T5,6102.0,M  1
1098.0,T6,1234.0,M  1
1098.0,T7,1202.0,M  1
1098.0,T8,1204.0,M  1
1098.0,P1,,T  10 11
1098.0,P2,,T  10 11
1098.0,P3,,T  10 11
1098.0,P4,,T  10 11
1098.0,P5,,Th  7 8
1098.0,P6,,Th  7 8
1098.0,P7,,Th  7 8
1660.0,L1,,
1345.0,L1,1201.0,M W F  4
1345.0,P1,,T  7 8
1345.0,P2,,T  7 8
1345.0,P3,,Th  10 11
1346.0,L1,1234.0,M W F  5
1346.0,T1,1203.0,T  9
1346.0,T2,1227.0,T  9
1346.0,T3,1223.0,T  9
1347.0,L1,5102.0,M W F  8
1347.0,L2,5101.0,M W F  8
1347.0,T1,1202.0,Th  9
1347.0,T2,6155.0,Th  9
1347.0,T3,1203.0,Th  9
1347.0,T4,1223.0,Th  9
1347.0,T5,1226.0,Th  9
1734.0,L1,,
1745.0,L1,,
1694.0,L1,,
1761.0,L1,,
1719.0,L1,,
1331.0,L1,6160.0,M W F  2
275.0,L1,1201.0,M W F  3
1010.0,L1B,6107.0,M  10  T Th  3
1010.0,L2N,,M W F  3
1010.0,L3N,,M W F  8
1010.0,L4N,,T Th  5  F  10
1010.0,T1B,6160.0,F  1
1010.0,T2N,,F  1
1010.0,T3N,,F  1
1010.0,T4N,,F  1
1010.0,T5N,,F  1
