COMCOD,COURSE_NO,COURSE_TITLE,CREDIT,COMPRE_DATE_&_SESSION
275.0,ITEB G621,SUPPLY CHAIN MANAGEMENT,4.0,22/12 AN
1010.0,MATH F111,MATHEMATICS I,3.0,28/12 FN
1022.0,MATH F211,MATHEMATICS III,3.0,11/12 FN
1122.0,MATH F212,OPTIMIZATION,3.0,21/12 AN
1123.0,MATH F213,DISCRETE MATHEMATICS,3.0,22/12 FN
1124.0,MATH F214,ELEMENTARY REAL ANALYSIS,3.0,28/12 FN
1125.0,MATH F215,ALGEBRA I,3.0,17/12 FN
1662.0,MATH F266,STUDY PROJECT,3.0,
1469.0,MATH F311,INTRODUCTION TO TOPOLOGY,3.0,27/12 FN
1470.0,MATH F312,ORDINARY DIFF EQUATIONS,3.0,24/12 FN
1471.0,MATH F313,NUMERICAL ANALYSIS,3.0,18/12 FN
1472.0,MATH F341,INTRO TO FUNCTIONAL ANAL,3.0,23/12 FN
1473.0,MATH F342,DIFFERENTIAL GEOMETRY,3.0,20/12 FN
1679.0,MATH F366,LABORATORY PROJECT,3.0,
1747.0,MATH F367,LABORATORY PROJECT,3.0,
1696.0,MATH F376,DESIGN PROJECT,3.0,
1763.0,MATH F377,DESIGN PROJECT,3.0,
1480.0,MATH F421,COMBINATORIAL MATHS,3.0,20/12 FN
2273.0,MATH F432,APPLIED STATISTICAL METHODS,3.0,28/12 FN
1330.0,MATH F441,DISCRETE MATHS STRUC,3.0,13/12 FN
1881.0,MATH F444,NUMERICAL SOL OF ODE,3.0,17/12 FN
1476.0,MATH F471,NONLINEAR OPTIMIZATION,3.0,23/12 FN
1721.0,MATH F491,SPECIAL PROJECT,3.0,
939.0,MBA G523,PROJECT MANAGEMENT,4.0,23/12 AN
2233.0,MBA G533,ADVERT AND SALES PROMO,3.0,23/12 FN
2235.0,MBA G537,SECURE ANAL AND PORTFOL,3.0,17/12 FN
2258.0,MBA G538,MARKETING MODELS,3.0,18/12 AN
2429.0,MBA G541,OPERATIONS STRATEGY,3.0,17/12 AN
2236.0,MBA G542,CONSUMER BEHAVIOUR,3.0,20/12 AN
1907.0,MBA G553,ORG. CHANGE AND DEVLP,3.0,14/12 AN
1909.0,MBA G555,INTERNATIONAL HUMAN RES. MGMT,3.0,18/12 AN
1910.0,MBA G556,PERFORMANCE MANAGEMENT,3.0,13/12 AN
2363.0,MBA G566,STRATEGIC MANAGEMENT,3.0,24/12 AN
2364.0,MBA G567,TECHNOLOGY INNOVATION & ENTREP,3.0,28/12 AN
2365.0,MBA G568,INTERNATIONAL BUSINESS STRATEG,3.0,15/12 AN
2328.0,MBA G576,DIGITAL MARKETING,3.0,13/12 AN
2329.0,MBA G577,SUPPLY CHAIN ANALYTICS,4.0,17/12 AN
2245.0,MBA G582,CREAT & LEAD ENTRE ORIGN,3.0,20/12 FN
2249.0,MBA G589,ENTERPRISE RESOURCE PLAN,3.0,21/12 AN
2250.0,MBA G593,BUSS ANAL & VALUATION,3.0,22/12 AN
2379.0,ME F112,WORKSHOP PRACTICE,2.0,24/12 FN
1083.0,ME F211,MECHANICS OF SOLIDS,3.0,17/12 FN
1082.0,ME F212,FLUID MECHANICS,3.0,28/12 FN
1084.0,ME F214,APPLIED THERMODYNAMICS,3.0,22/12 FN
1085.0,ME F215,MECHANICAL ENGG LAB,2.0,
2394.0,ME F216,MATERIALS SCIENCE AND ENGG,3.0,13/12 FN
2396.0,ME F217,APPLIED THERMODYNAMICS,4.0,22/12 FN
1266.0,ME F244,KIN & DYN OF  MACHINES,3.0,17/12 AN
1663.0,ME F266,STUDY PROJECT,3.0,
1267.0,ME F311,HEAT TRANSFER,4.0,22/12 FN
1268.0,ME F312,ADV MECHANICS OF SOLIDS,3.0,28/12 FN
2401.0,ME F314,DESIGN OF MACHINE ELEMENTS,3.0,27/12 FN
2403.0,ME F315,ADV MANUFACTURING PROCESSES,3.0,24/12 FN
2404.0,ME F316,MANUFACTURING MANAGEMENT,2.0,18/12 FN
2405.0,ME F317,ENGINES  MOTORS  AND MOBILITY,2.0,15/12 FN
1680.0,ME F366,LABORATORY PROJECT,3.0,
1748.0,ME F367,LABORATORY PROJECT,3.0,
1697.0,ME F376,DESIGN PROJECT,3.0,
1764.0,ME F377,DESIGN PROJECT,3.0,
1275.0,ME F413,NONLINEAR VIBRATIONS,3.0,22/12 FN
2291.0,ME F414,FUEL CELL SCIENCE AND TECHNOLO,3.0,23/12 FN
1277.0,ME F415,GAS DYNAMICS,3.0,23/12 FN
1278.0,ME F416,REV ENG & RAPID PROTOTYP,3.0,17/12 FN
1281.0,ME F420,POWER PLANT ENGINEERING,3.0,23/12 FN
1284.0,ME F443,QUALI CONTRO ASSUR & REL,3.0,28/12 AN
1868.0,ME F484,AUTOMOTIVE TECHNOLOGY,3.0,11/12 AN
1290.0,ME F491,SPECIAL PROJECTS,3.0,
741.0,ME G511,MECHANISMS & ROBOTICS,5.0,20/12 AN
322.0,ME G512,FINITE ELEMENT METHOD,5.0,24/12 AN
262.0,ME G532,MACHINE TOOL ENGINEERING,5.0,18/12 AN
2098.0,ME G533,COND & RAD HEAT TRANSFER,5.0,13/12 AN
2079.0,ME G535,ADV ENGG MATHEMATICS,5.0,23/12 AN
2086.0,ME G538,TOYOTA PRODUCTION SYSTEM,5.0,23/12 AN
2087.0,ME G539,COMP INTEGRATED MANUFACT,5.0,20/12 AN
